actorId,movieId
3,1
20,1
17,1
27,1
6,1
24,1
9,1
26,1
8,2
2,2
4,2
14,2
25,2
18,2
9,2
16,3
1,3
4,3
5,3
19,3
1,4
21,4
4,4
10,4
14,4
14,5
5,5
2,5
16,5
27,5
1,6
13,6
22,6
28,6
11,6
2,7
19,7
17,7
8,7
10,7
23,8
1,8
14,8
21,8
3,8
1,9
19,9
3,9
30,9
16,9
28,9
18,9
24,9
8,10
21,10
25,10
14,10
18,11
27,11
2,11
11,11
3,11
8,12
14,12
25,12
13,12
22,12
6,12
20,12
29,12
9,13
25,13
30,13
2,13
20,14
15,14
18,14
1,15
23,15
30,15
6,15
24,16
26,16
2,16
1,16
23,16
11,16
6,16
16,17
21,17
4,17
17,18
20,18
7,18
2,18
14,18
4,18
9,18
28,19
3,19
2,19
4,19
1,20
13,20
26,20
24,21
26,21
9,21
25,21
18,21
27,21
4,21
28,21
19,22
13,22
16,22
27,22
2,22
9,22
3,22
19,23
16,23
25,23
18,23
24,24
16,24
29,24
30,24
25,24
7,25
28,25
16,25
17,25
7,26
10,26
30,26
12,26
11,26
29,27
3,27
7,27
24,27
19,27
6,27
18,27
16,27
21,28
13,28
3,28
6,28
26,28
30,28
11,29
21,29
2,29
6,29
18,29
5,29
25,30
15,30
5,30
3,30
14,30
16,30
22,31
28,31
6,31
11,31
9,31
19,31
12,31
30,32
5,32
21,32
12,32
14,32
10,34
24,34
14,34
16,34
19,34
6,34
21,34
7,36
12,36
25,36
5,36
22,36
26,38
28,38
29,38
5,38
16,39
25,39
26,39
18,40
23,40
28,40
19,40
3,40
13,40
17,41
9,41
30,41
7,41
18,41
8,41
11,41
10,41
14,42
20,42
29,42
17,43
26,43
10,43
14,43
1,43
13,43
18,43
29,43
22,44
16,44
19,44
9,44
15,44
11,44
17,44
12,44
2,45
22,45
18,45
27,45
28,46
25,46
29,46
22,46
24,46
10,47
25,47
12,47
13,47
11,47
22,48
20,48
3,48
1,48
21,48
1,49
15,49
2,49
11,49
29,49
19,50
3,50
2,50
21,50
1,50
23,50
9,52
14,52
22,52
28,52
19,52
2,52
1,53
5,53
15,53
19,53
18,53
2,53
3,54
30,54
9,54
28,54
27,55
3,55
30,55
8,55
1,55
8,57
24,57
10,57
10,58
1,58
15,58
20,58
19,58
29,58
2,58
30,58
2,60
19,60
27,60
28,60
12,60
1,60
29,60
19,61
20,61
7,61
16,61
18,61
28,61
2,61
21,61
25,62
5,62
1,62
12,62
27,63
20,63
1,63
7,63
13,63
8,63
15,64
25,64
5,64
9,64
26,64
14,64
28,64
2,65
10,65
16,65
12,65
18,65
21,65
9,65
11,65
28,66
7,66
25,66
27,66
13,66
15,66
18,66
11,66
5,68
7,68
2,68
30,68
13,68
17,68
16,68
17,69
12,69
4,69
13,69
2,69
11,69
22,69
25,70
7,70
29,70
14,70
17,70
1,71
29,71
19,71
5,72
18,72
17,72
12,72
1,73
27,73
22,73
14,73
14,74
27,74
13,74
15,74
11,74
24,74
17,74
9,75
16,75
26,75
5,75
8,75
22,75
1,76
17,76
4,76
10,77
7,77
1,77
6,77
14,77
11,77
14,78
11,78
19,78
21,78
5,78
12,79
28,79
19,79
27,79
1,79
1,80
15,80
23,80
2,81
14,81
10,81
5,81
4,82
14,82
9,82
28,82
12,83
15,83
4,83
1,83
29,83
24,85
7,85
5,85
10,85
18,85
1,86
21,86
7,86
5,86
13,86
13,87
22,87
26,87
29,87
10,87
11,87
19,87
10,88
14,88
27,88
6,88
20,88
7,88
1,89
4,89
24,89
28,92
6,92
21,92
23,92
19,92
27,92
30,92
13,93
21,93
6,93
23,93
8,93
30,93
1,93
3,93
9,94
13,94
15,94
2,95
10,95
7,95
5,96
19,96
12,96
20,96
22,96
6,96
18,97
14,97
3,97
10,97
2,97
22,99
5,99
6,99
23,99
1,100
29,100
15,100
21,100
19,100
26,100
23,100
3,101
29,101
11,101
26,101
9,101
7,101
13,101
5,101
10,102
